"CCAA","cod_ine","value","date","poblacion","per_cienmil"
"Andalucía",1,21,2020-03-18,8414240,0.25
"Andalucía",1,4,2020-03-12,8414240,0.05
"Andalucía",1,1,2020-03-04,8414240,0.01
"Andalucía",1,1,2020-03-06,8414240,0.01
"Andalucía",1,1,2020-03-10,8414240,0.01
"Andalucía",1,1,2020-03-05,8414240,0.01
"Andalucía",1,11,2020-03-16,8414240,0.13
"Andalucía",1,3,2020-03-11,8414240,0.04
"Andalucía",1,8,2020-03-13,8414240,0.1
"Andalucía",1,13,2020-03-17,8414240,0.15
"Andalucía",1,1,2020-03-09,8414240,0.01
"Aragón",2,7,2020-03-16,1319291,0.53
"Aragón",2,9,2020-03-18,1319291,0.68
"Aragón",2,9,2020-03-17,1319291,0.68
"Aragón",2,3,2020-03-10,1319291,0.23
"Aragón",2,3,2020-03-12,1319291,0.23
"Aragón",2,0,2020-03-04,1319291,0
"Aragón",2,1,2020-03-06,1319291,0.08
"Aragón",2,3,2020-03-13,1319291,0.23
"Aragón",2,1,2020-03-05,1319291,0.08
"Aragón",2,1,2020-03-09,1319291,0.08
"Aragón",2,3,2020-03-11,1319291,0.23
"Asturias",3,2,2020-03-13,1022800,0.2
"Asturias",3,5,2020-03-17,1022800,0.49
"Asturias",3,2,2020-03-12,1022800,0.2
"Asturias",3,3,2020-03-16,1022800,0.29
"Asturias",3,5,2020-03-18,1022800,0.49
"Asturias",3,2,2020-03-06,1022800,0.2
"Asturias",3,2,2020-03-10,1022800,0.2
"Asturias",3,2,2020-03-05,1022800,0.2
"Asturias",3,1,2020-03-04,1022800,0.1
"Asturias",3,2,2020-03-11,1022800,0.2
"Asturias",3,2,2020-03-09,1022800,0.2
"Baleares",4,2,2020-03-13,1149460,0.17
"Baleares",4,4,2020-03-17,1149460,0.35
"Baleares",4,1,2020-03-11,1149460,0.09
"Baleares",4,4,2020-03-18,1149460,0.35
"Baleares",4,1,2020-03-10,1149460,0.09
"Baleares",4,2,2020-03-12,1149460,0.17
"Baleares",4,4,2020-03-16,1149460,0.35
"Baleares",4,0,2020-03-04,1149460,0
"Baleares",4,0,2020-03-06,1149460,0
"Baleares",4,0,2020-03-05,1149460,0
"Baleares",4,0,2020-03-09,1149460,0
"C. Valenciana",10,2,2020-03-12,5003769,0.04
"C. Valenciana",10,4,2020-03-16,5003769,0.08
"C. Valenciana",10,40,2020-03-18,5003769,0.8
"C. Valenciana",10,1,2020-03-10,5003769,0.02
"C. Valenciana",10,27,2020-03-17,5003769,0.54
"C. Valenciana",10,1,2020-03-09,5003769,0.02
"C. Valenciana",10,1,2020-03-11,5003769,0.02
"C. Valenciana",10,2,2020-03-13,5003769,0.04
"C. Valenciana",10,1,2020-03-06,5003769,0.02
"C. Valenciana",10,0,2020-03-05,5003769,0
"C. Valenciana",10,0,2020-03-04,5003769,0
"Canarias",5,2,2020-03-13,2153389,0.09
"Canarias",5,1,2020-03-11,2153389,0.05
"Canarias",5,0,2020-03-06,2153389,0
"Canarias",5,13,2020-03-17,2153389,0.6
"Canarias",5,0,2020-03-09,2153389,0
"Canarias",5,9,2020-03-16,2153389,0.42
"Canarias",5,17,2020-03-18,2153389,0.79
"Canarias",5,1,2020-03-10,2153389,0.05
"Canarias",5,3,2020-03-12,2153389,0.14
"Canarias",5,0,2020-03-05,2153389,0
"Canarias",5,0,2020-03-04,2153389,0
"Cantabria",6,0,2020-03-11,581078,0
"Cantabria",6,0,2020-03-13,581078,0
"Cantabria",6,0,2020-03-05,581078,0
"Cantabria",6,0,2020-03-09,581078,0
"Cantabria",6,0,2020-03-04,581078,0
"Cantabria",6,0,2020-03-06,581078,0
"Cantabria",6,2,2020-03-17,581078,0.34
"Cantabria",6,0,2020-03-12,581078,0
"Cantabria",6,2,2020-03-16,581078,0.34
"Cantabria",6,3,2020-03-18,581078,0.52
"Cantabria",6,0,2020-03-10,581078,0
"Castilla y León",7,24,2020-03-17,2399548,1
"Castilla y León",7,43,2020-03-18,2399548,1.79
"Castilla y León",7,2,2020-03-11,2399548,0.08
"Castilla y León",7,8,2020-03-13,2399548,0.33
"Castilla y León",7,1,2020-03-05,2399548,0.04
"Castilla y León",7,1,2020-03-09,2399548,0.04
"Castilla y León",7,1,2020-03-04,2399548,0.04
"Castilla y León",7,1,2020-03-06,2399548,0.04
"Castilla y León",7,2,2020-03-10,2399548,0.08
"Castilla y León",7,4,2020-03-12,2399548,0.17
"Castilla y León",7,24,2020-03-16,2399548,1
"Castilla-La Mancha",8,10,2020-03-13,2032863,0.49
"Castilla-La Mancha",8,1,2020-03-05,2032863,0.05
"Castilla-La Mancha",8,2,2020-03-09,2032863,0.1
"Castilla-La Mancha",8,5,2020-03-11,2032863,0.25
"Castilla-La Mancha",8,1,2020-03-06,2032863,0.05
"Castilla-La Mancha",8,23,2020-03-17,2032863,1.13
"Castilla-La Mancha",8,9,2020-03-12,2032863,0.44
"Castilla-La Mancha",8,1,2020-03-04,2032863,0.05
"Castilla-La Mancha",8,29,2020-03-18,2032863,1.43
"Castilla-La Mancha",8,2,2020-03-10,2032863,0.1
"Castilla-La Mancha",8,23,2020-03-16,2032863,1.13
"Cataluña",9,33,2020-03-18,7675217,0.43
"Cataluña",9,25,2020-03-13,7675217,0.33
"Cataluña",9,33,2020-03-17,7675217,0.43
"Cataluña",9,33,2020-03-16,7675217,0.43
"Cataluña",9,0,2020-03-09,7675217,0
"Cataluña",9,0,2020-03-11,7675217,0
"Cataluña",9,0,2020-03-06,7675217,0
"Cataluña",9,0,2020-03-05,7675217,0
"Cataluña",9,0,2020-03-12,7675217,0
"Cataluña",9,0,2020-03-04,7675217,0
"Cataluña",9,0,2020-03-10,7675217,0
"Ceuta",18,0,2020-03-18,84777,0
"Ceuta",18,0,2020-03-12,84777,0
"Ceuta",18,0,2020-03-16,84777,0
"Ceuta",18,0,2020-03-11,84777,0
"Ceuta",18,0,2020-03-13,84777,0
"Ceuta",18,0,2020-03-17,84777,0
"Ceuta",18,0,2020-03-05,84777,0
"Ceuta",18,0,2020-03-09,84777,0
"Ceuta",18,0,2020-03-04,84777,0
