"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"Santiago","Galicia",NA,NA,NA,NA,7,1,109,1834,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-05,"Santiago","Galicia",NA,NA,NA,NA,8,1,109,1842,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-06,"Santiago","Galicia",NA,NA,NA,NA,6,1,109,1847,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-07,"Santiago","Galicia",NA,NA,NA,NA,5,1,109,1848,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-08,"Santiago","Galicia",NA,NA,NA,NA,5,1,109,1849,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-09,"Santiago","Galicia",NA,NA,NA,NA,3,1,109,1852,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-10,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1855,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-11,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1856,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-12,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1859,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-13,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1860,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-14,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1860,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-15,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1860,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-16,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1860,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-17,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1860,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-18,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1861,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-19,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1861,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-20,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1861,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
