"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"Vigo","Galicia",NA,NA,NA,NA,5,0,134,2274,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-05,"Vigo","Galicia",NA,NA,NA,NA,7,0,134,2276,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-06,"Vigo","Galicia",NA,NA,NA,NA,7,0,134,2277,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-07,"Vigo","Galicia",NA,NA,NA,NA,8,0,134,2278,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-08,"Vigo","Galicia",NA,NA,NA,NA,5,0,134,2278,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-09,"Vigo","Galicia",NA,NA,NA,NA,5,0,134,2278,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-10,"Vigo","Galicia",NA,NA,NA,NA,4,0,134,2297,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-11,"Vigo","Galicia",NA,NA,NA,NA,5,0,135,2299,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-12,"Vigo","Galicia",NA,NA,NA,NA,3,0,135,2302,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-13,"Vigo","Galicia",NA,NA,NA,NA,3,0,135,2305,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-14,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2305,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-15,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2305,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-16,"Vigo","Galicia",NA,NA,NA,NA,3,0,135,2307,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-17,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2308,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-18,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2311,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-19,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2315,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-20,"Vigo","Galicia",NA,NA,NA,NA,2,0,135,2320,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-21,"Vigo","Galicia",NA,NA,NA,NA,1,0,135,2320,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-22,"Vigo","Galicia",NA,NA,NA,NA,1,0,135,2320,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-23,"Vigo","Galicia",NA,NA,NA,NA,1,0,135,2320,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-24,"Vigo","Galicia",NA,NA,NA,NA,1,0,135,2320,NA,NA,"Área sanitaria Ourense via @lipido","https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
