"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-04,"Pontevedra","Galicia",NA,NA,NA,NA,5,0,150,3180,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-05,"Pontevedra","Galicia",NA,NA,NA,NA,7,0,150,3186,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-06,"Pontevedra","Galicia",NA,NA,NA,NA,7,0,150,3190,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-07,"Pontevedra","Galicia",NA,NA,NA,NA,8,0,150,3191,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-08,"Pontevedra","Galicia",NA,NA,NA,NA,5,0,150,3191,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-09,"Pontevedra","Galicia",NA,NA,NA,NA,5,0,150,3192,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-10,"Pontevedra","Galicia",NA,NA,NA,NA,4,0,150,3212,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-11,"Pontevedra","Galicia",NA,NA,NA,NA,5,0,151,3214,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-12,"Pontevedra","Galicia",NA,NA,NA,NA,3,0,151,3217,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-13,"Pontevedra","Galicia",NA,NA,NA,NA,3,0,151,3220,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-14,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3220,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-15,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3220,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-16,"Pontevedra","Galicia",NA,NA,NA,NA,3,0,151,3222,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-17,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3223,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-18,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3226,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-19,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3232,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-20,"Pontevedra","Galicia",NA,NA,NA,NA,2,0,151,3237,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-21,"Pontevedra","Galicia",NA,NA,NA,NA,1,0,151,3237,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-22,"Pontevedra","Galicia",NA,NA,NA,NA,1,0,151,3237,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-23,"Pontevedra","Galicia",NA,NA,NA,NA,1,0,151,3237,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
2020-06-24,"Pontevedra","Galicia",NA,NA,NA,NA,1,0,151,3237,NA,NA,"Áreas sanitaria Pontevedra y Vigo via @lipido","https://github.com/lipido/galicia-covid19/blob/master/pontevedra.csv;https://github.com/lipido/galicia-covid19/blob/master/pontevedra.ext.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.csv;https://github.com/lipido/galicia-covid19/blob/master/vigo.ext.csv",NA
